quadro,alvo,x,y
0,"the white cup",592.8,121.9
0,"the coffee dripper",241.7,73.9
1,"the white cup",592.8,121.9
1,"the coffee dripper",241.7,73.9
2,"the white cup",592.8,121.9
2,"the coffee dripper",241.7,64.8
3,"the white cup",592.8,121.9
3,"the coffee dripper",241.7,64.8
4,"the white cup",592.8,121.9
4,"the coffee dripper",224.7,64.8
5,"the white cup",592.8,121.9
5,"the coffee dripper",224.7,64.8
6,"the white cup",592.8,121.9
6,"the coffee dripper",241.7,73.9
7,"the white cup",592.8,121.9
7,"the coffee dripper",241.7,73.9
8,"the white cup",592.8,121.9
8,"the coffee dripper",241.7,64.8
9,"the white cup",592.8,121.9
9,"the coffee dripper",241.7,73.9
10,"the white cup",592.8,121.9
10,"the coffee dripper",241.7,70.1
11,"the white cup",592.8,121.9
11,"the coffee dripper",241.7,73.9
12,"the white cup",592.8,121.9
12,"the coffee dripper",241.7,64.8
13,"the white cup",592.8,121.9
13,"the coffee dripper",241.7,73.9
14,"the white cup",592.8,121.9
14,"the coffee dripper",241.7,73.9
15,"the white cup",592.8,121.9
15,"the coffee dripper",241.7,73.9
16,"the white cup",592.8,121.9
16,"the coffee dripper",224.7,64.8
17,"the white cup",592.8,121.9
17,"the coffee dripper",224.7,64.8
18,"the white cup",592.8,121.9
18,"the coffee dripper",224.7,64.8
19,"the white cup",592.8,121.9
19,"the coffee dripper",224.7,64.8
20,"the white cup",592.8,121.9
20,"the coffee dripper",241.7,64.8
21,"the white cup",592.8,121.9
21,"the coffee dripper",241.7,70.1
22,"the white cup",592.8,121.9
22,"the coffee dripper",241.7,73.9
23,"the white cup",592.8,121.9
23,"the coffee dripper",241.7,64.8
24,"the white cup",592.8,121.9
24,"the coffee dripper",241.7,73.9
25,"the white cup",592.8,121.9
25,"the coffee dripper",241.7,73.9
26,"the white cup",592.8,121.9
26,"the coffee dripper",241.7,73.9
27,"the white cup",592.8,121.9
27,"the coffee dripper",241.7,73.9
28,"the white cup",592.8,122.9
28,"the coffee dripper",224.7,66.2
29,"the white cup",592.8,124.8
29,"the coffee dripper",241.7,73.9
30,"the white cup",592.8,121.9
30,"the coffee dripper",241.7,73.9
31,"the white cup",592.8,124.8
31,"the coffee dripper",241.7,72.5
32,"the white cup",592.8,121.9
32,"the coffee dripper",224.7,73.9
33,"the white cup",592.8,124.8
33,"the coffee dripper",224.7,72.5
34,"the white cup",589.4,121.9
34,"the coffee dripper",224.7,73.9
35,"the white cup",592.8,121.9
35,"the coffee dripper",224.7,70.1
36,"the white cup",592.8,121.9
36,"the coffee dripper",224.7,73.9
37,"the white cup",589.4,121.9
37,"the coffee dripper",224.7,73.9
38,"the white cup",592.8,122.9
38,"the coffee dripper",224.7,64.8
