quadro,alvo,x,y
0,the white cup,592.8,121.9
0,the coffee dripper,241.7,72.5
20,the white cup,592.8,121.9
20,the coffee dripper,241.7,70.1
40,the white cup,592.8,121.9
40,the coffee dripper,244.2,72.5
60,the white cup,589.4,136.8
60,the coffee dripper,244.2,64.8
80,the white cup,592.8,124.8
80,the coffee dripper,224.7,64.8
100,the white cup,592.8,121.9
100,the coffee dripper,241.7,70.1
120,the white cup,589.4,114.2
120,the coffee dripper,241.7,64.8
140,the white cup,564.8,99.8
140,the coffee dripper,216.2,66.2
160,the white cup,534.2,114.2
160,the coffee dripper,216.2,73.9
180,the white cup,479.1,114.2
180,the coffee dripper,241.7,62.9
200,the white cup,436.7,114.2
200,the coffee dripper,241.7,62.9
220,the white cup,411.3,172.8
220,the coffee dripper,241.7,60.0
240,the white cup,394.3,186.2
240,the coffee dripper,301.0,49.9
260,the white cup,394.3,182.9
260,the coffee dripper,301.0,51.8
280,the white cup,394.3,187.2
280,the coffee dripper,326.5,49.9
300,the white cup,394.3,186.2
300,the coffee dripper,326.5,51.8
320,the white cup,385.8,162.2
320,the coffee dripper,335.0,51.8
340,the white cup,385.8,144.0
340,the coffee dripper,301.0,51.8
360,the white cup,385.8,146.9
360,the coffee dripper,301.0,144.0
380,the white cup,351.9,48.0
380,the coffee dripper,343.4,48.0
400,the white cup,394.3,156.0
400,the coffee dripper,360.4,48.0
420,the white cup,394.3,148.8
420,the coffee dripper,360.4,49.9
440,the white cup,394.3,159.8
440,the coffee dripper,360.4,48.0
460,the white cup,363.8,49.9
460,the coffee dripper,360.4,49.9
480,the white cup,363.8,51.8
480,the coffee dripper,360.4,49.9
500,the white cup,363.8,49.9
500,the coffee dripper,335.0,49.9
520,the white cup,360.4,51.8
520,the coffee dripper,360.4,51.8
540,the white cup,364.6,48.0
540,the coffee dripper,360.4,48.0
560,the white cup,364.6,48.0
560,the coffee dripper,360.4,49.9
580,the white cup,364.6,49.9
580,the coffee dripper,343.4,55.2
600,the white cup,364.6,48.0
600,the coffee dripper,360.4,48.0
620,the white cup,394.3,193.9
620,the coffee dripper,360.4,48.0
640,the white cup,364.6,49.9
640,the coffee dripper,360.4,50.9
660,the white cup,364.6,50.9
660,the coffee dripper,360.4,49.9
680,the white cup,364.6,49.9
680,the coffee dripper,351.9,50.9
700,the white cup,385.8,49.9
700,the coffee dripper,360.4,48.0
